Simulator Program
=================

Uploading Configuration Files

Uploading Meta Data Files

=================
Begin Simulation

Time:  1.160487, OS: Process 2 run operation start
Time:  1.171692, OS: Process 2 run cycle complete
Time:  1.180075, OS: Process 2 set in READY state
Time:  1.191075, OS: Process 2 selected with 1910 ms remaining
Time:  1.201002, OS: Process 2 set in RUNNING state
Time:  1.210904, OS: Process 2 run operation start
Time:  1.223401, OS: Process 2 run cycle complete
Time:  1.233741, OS: Process 2 set in READY state
Time:  1.242411, OS: Process 2 selected with 1904 ms remaining
Time:  1.251789, OS: Process 2 set in RUNNING state
Time:  1.261938, OS: Process 2 run operation start
Time:  1.273836, OS: Process 2 run cycle complete
Time:  1.280675, OS: Process 2 set in READY state
#
#
#
#
Time:  1.281512, OS: Interrupt by Process 1
#
#
#
#
#Time:  1.292090, OS: Process 2 selected with 1898 ms remaining
Time:  1.301275, OS: Process 1 harddrive IO end
Time:  1.311050, OS: Process 2 set in RUNNING state
Time:  1.330114, OS: Process 2 run operation start
Time:  1.330121, OS: Process 1 set in READY state
Time:  1.345901, OS: Process 2 run cycle complete
Time:  1.354894, OS: Process 2 set in READY state
Time:  1.364318, OS: Process 1 selected with 336 ms remaining
Time:  1.371311, OS: Process 1 set in RUNNING state
Time:  1.378887, OS: Process 1 printer output start
Time:  1.389410, OS: Process 1 set in BLOCKED state
Time:  1.399053, OS: Process 2 selected with 1892 ms remaining
Time:  1.409478, OS: Process 2 set in RUNNING state
Time:  1.419410, OS: Process 2 run operation start
Time:  1.432334, OS: Process 2 run cycle complete
#
#
#
#
Time:  1.437101, OS: Interrupt by Process 1
#
#
#
#
#Time:  1.440341, OS: Process 2 set in READY state
Time:  1.450030, OS: Process 1 printer IO end
Time:  1.457821, OS: Process 2 selected with 1886 ms remaining
Time:  1.467976, OS: Process 1 set in READY state
Time:  1.485187, OS: Process 2 set in RUNNING state
Time:  1.492895, OS: Process 2 run operation start
Time:  1.506081, OS: Process 2 run cycle complete
Time:  1.516631, OS: Process 2 set in READY state
Time:  1.521873, OS: Process 1 selected with 298 ms remaining
Time:  1.530094, OS: Process 1 set in RUNNING state
Time:  1.542029, OS: Process 1 printer output start
Time:  1.553693, OS: Process 1 set in BLOCKED state
Time:  1.560443, OS: Process 2 selected with 1880 ms remaining
Time:  1.566311, OS: Process 2 set in RUNNING state
Time:  1.572884, OS: Process 2 run operation start
Time:  1.584053, OS: Process 2 run operation end
Time:  1.592182, OS: Process 2 set in READY state
#
#
#
#
Time:  1.590493, OS: Interrupt by Process 1
#
#
#
#
#Time:  1.599930, OS: Process 2 selected with 1874 ms remaining
Time:  1.606543, OS: Process 1 printer IO end
Time:  1.615168, OS: Process 2 set in RUNNING state
Time:  1.627397, OS: Process 2 keyboard input start
Time:  1.627404, OS: Process 1 set in READY state
Time:  1.643276, OS: Process 2 set in BLOCKED state
Time:  1.650066, OS: Process 1 selected with 268 ms remaining
Time:  1.656643, OS: Process 1 set in RUNNING state
Time:  1.665809, OS: Process 1 keyboard input start
Time:  1.674564, OS: Process 1 set in BLOCKED state
Time:  1.682948, OS: Process 0 selected with 2878 ms remaining
Time:  1.690702, OS: Process 0 set in RUNNING state
#
#
#
#
Time:  1.702120, OS: Interrupt by Process 2
#
#
#
#
#Time:  1.703735, OS: Process 0 keyboard input start
Time:  1.711967, OS: Process 2 keyboard IO end
Time:  1.720784, OS: Process 0 set in BLOCKED state
Time:  1.735633, OS: Process 2 set in READY state
Time:  1.743111, OS: Process 2 selected with 1822 ms remaining
Time:  1.751074, OS: Process 2 set in RUNNING state
Time:  1.759563, OS: Process 2 run operation start
Time:  1.769419, OS: Process 2 run cycle complete
#
#
#
#
Time:  1.769709, OS: Interrupt by Process 0
#
#
#
#
#Time:  1.776623, OS: Process 2 set in READY state
Time:  1.783583, OS: Process 0 keyboard IO end
Time:  1.791950, OS: Process 2 selected with 1816 ms remaining
Time:  1.801890, OS: Process 0 set in READY state
Time:  1.816269, OS: Process 2 set in RUNNING state
Time:  1.824972, OS: Process 2 run operation start
Time:  1.835445, OS: Process 2 run cycle complete
Time:  1.843749, OS: Process 2 set in READY state
Time:  1.851674, OS: Process 2 selected with 1810 ms remaining
Time:  1.860993, OS: Process 2 set in RUNNING state
Time:  1.870304, OS: Process 2 run operation start
Time:  1.881113, OS: Process 2 run cycle complete
Time:  1.888826, OS: Process 2 set in READY state
Time:  1.897300, OS: Process 2 selected with 1804 ms remaining
Time:  1.905125, OS: Process 2 set in RUNNING state
Time:  1.916101, OS: Process 2 run operation start
#
#
#
#
Time:  1.918998, OS: Interrupt by Process 1
#
#
#
#
#Time:  1.933959, OS: Process 1 keyboard IO end
Time:  1.927504, OS: Process 2 run cycle complete
Time:  1.943261, OS: Process 1 set in READY state
Time:  1.963642, OS: Process 2 set in READY state
Time:  1.974674, OS: Process 1 selected with 32 ms remaining
Time:  1.981612, OS: Process 1 set in RUNNING state
Time:  1.988570, OS: Process 1 run operation start
Time:  1.998286, OS: Process 1 run cycle complete
Time:  2.006402, OS: Process 1 set in READY state
Time:  2.017402, OS: Process 1 selected with 26 ms remaining
Time:  2.024853, OS: Process 1 set in RUNNING state
Time:  2.034188, OS: Process 1 run operation start
Time:  2.045444, OS: Process 1 run cycle complete
Time:  2.058989, OS: Process 1 set in READY state
Time:  2.066097, OS: Process 1 selected with 20 ms remaining
Time:  2.074957, OS: Process 1 set in RUNNING state
Time:  2.084451, OS: Process 1 run operation start
Time:  2.097952, OS: Process 1 run cycle complete
Time:  2.105174, OS: Process 1 set in READY state
Time:  2.113856, OS: Process 1 selected with 14 ms remaining
Time:  2.122356, OS: Process 1 set in RUNNING state
Time:  2.130574, OS: Process 1 run operation start
Time:  2.142595, OS: Process 1 run cycle complete
Time:  2.155243, OS: Process 1 set in READY state
Time:  2.165620, OS: Process 1 selected with 8 ms remaining
Time:  2.175324, OS: Process 1 set in RUNNING state
Time:  2.183582, OS: Process 1 run operation start
Time:  2.195805, OS: Process 1 run cycle complete
Time:  2.207541, OS: Process 1 set in READY state
Time:  2.217633, OS: Process 1 selected with 2 ms remaining
Time:  2.226126, OS: Process 1 set in RUNNING state
Time:  2.236569, OS: Process 1 run operation start
Time:  2.247346, OS: Process 1 run operation end
Time:  2.258226, OS: Process 1 set in READY state
Time:  2.266995, OS: Process 1 selected with 0 ms remaining
Time:  2.276494, OS: Process 1 set in RUNNING state
Time:  2.284826, OS: Process 1 set in EXIT state
Time:  2.293424, OS: Process 2 selected with 1798 ms remaining
Time:  2.305072, OS: Process 2 set in RUNNING state
Time:  2.314995, OS: Process 2 run operation start
Time:  2.330192, OS: Process 2 run cycle complete
Time:  2.336837, OS: Process 2 set in READY state
Time:  2.346553, OS: Process 2 selected with 1792 ms remaining
Time:  2.354709, OS: Process 2 set in RUNNING state
Time:  2.363183, OS: Process 2 run operation start
Time:  2.373820, OS: Process 2 run cycle complete
Time:  2.380665, OS: Process 2 set in READY state
Time:  2.393011, OS: Process 2 selected with 1786 ms remaining
Time:  2.403808, OS: Process 2 set in RUNNING state
Time:  2.416259, OS: Process 2 run operation start
Time:  2.427259, OS: Process 2 run cycle complete
Time:  2.436909, OS: Process 2 set in READY state
Time:  2.446053, OS: Process 2 selected with 1780 ms remaining
Time:  2.455306, OS: Process 2 set in RUNNING state
Time:  2.464128, OS: Process 2 run operation start
Time:  2.474303, OS: Process 2 run cycle complete
Time:  2.481487, OS: Process 2 set in READY state
Time:  2.488616, OS: Process 2 selected with 1774 ms remaining
Time:  2.497680, OS: Process 2 set in RUNNING state
Time:  2.509593, OS: Process 2 run operation start
Time:  2.522785, OS: Process 2 run cycle complete
Time:  2.532221, OS: Process 2 set in READY state
Time:  2.540477, OS: Process 2 selected with 1768 ms remaining
Time:  2.549792, OS: Process 2 set in RUNNING state
Time:  2.559735, OS: Process 2 run operation start
Time:  2.571487, OS: Process 2 run cycle complete
Time:  2.580211, OS: Process 2 set in READY state
Time:  2.590278, OS: Process 2 selected with 1762 ms remaining
Time:  2.596926, OS: Process 2 set in RUNNING state
Time:  2.606265, OS: Process 2 run operation start
Time:  2.619594, OS: Process 2 run cycle complete
Time:  2.625223, OS: Process 2 set in READY state
Time:  2.634904, OS: Process 2 selected with 1756 ms remaining
Time:  2.645325, OS: Process 2 set in RUNNING state
Time:  2.652299, OS: Process 2 run operation start
Time:  2.664222, OS: Process 2 run cycle complete
Time:  2.672477, OS: Process 2 set in READY state
Time:  2.681854, OS: Process 2 selected with 1750 ms remaining
Time:  2.694310, OS: Process 2 set in RUNNING state
Time:  2.702237, OS: Process 2 run operation start
Time:  2.712299, OS: Process 2 run cycle complete
Time:  2.722139, OS: Process 2 set in READY state
Time:  2.730674, OS: Process 2 selected with 1744 ms remaining
Time:  2.738636, OS: Process 2 set in RUNNING state
Time:  2.745690, OS: Process 2 run operation start
Time:  2.758644, OS: Process 2 run cycle complete
Time:  2.766714, OS: Process 2 set in READY state
Time:  2.774544, OS: Process 2 selected with 1738 ms remaining
Time:  2.783369, OS: Process 2 set in RUNNING state
Time:  2.793748, OS: Process 2 run operation start
Time:  2.807967, OS: Process 2 run cycle complete
Time:  2.818621, OS: Process 2 set in READY state
Time:  2.827073, OS: Process 2 selected with 1732 ms remaining
Time:  2.837161, OS: Process 2 set in RUNNING state
Time:  2.846198, OS: Process 2 run operation start
Time:  2.858965, OS: Process 2 run cycle complete
Time:  2.871155, OS: Process 2 set in READY state
Time:  2.881320, OS: Process 2 selected with 1726 ms remaining
Time:  2.892049, OS: Process 2 set in RUNNING state
Time:  2.901236, OS: Process 2 run operation start
Time:  2.914887, OS: Process 2 run operation end
Time:  2.923625, OS: Process 2 set in READY state
Time:  2.933639, OS: Process 2 selected with 1724 ms remaining
Time:  2.939860, OS: Process 2 set in RUNNING state
Time:  2.945937, OS: Process 2 keyboard input start
Time:  2.951933, OS: Process 2 set in BLOCKED state
Time:  2.960329, OS: Process 0 selected with 2844 ms remaining
Time:  2.971633, OS: Process 0 set in RUNNING state
Time:  2.980399, OS: Process 0 keyboard input start
Time:  2.990901, OS: Process 0 set in BLOCKED state
Time:  3.000021, OS: System Idle
#
#
#
#
Time:  3.136377, OS: Interrupt by Process 2
#
#
#
#
